"filename", "language", "Markdown", "CSS", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\details.md", "Markdown", 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 6, 15
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\results.md", "Markdown", 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\README.md", "Markdown", 37, 0, 0, 0, 0, 0, 32, 69
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\package-lock.json", "JSON", 0, 0, 0, 13547, 0, 0, 1, 13548
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\package.json", "JSON", 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\public\index.html", "HTML", 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\App.js", "JavaScript", 0, 0, 35, 0, 0, 1, 5, 41
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\auth\Login.js", "JavaScript", 0, 0, 77, 0, 0, 8, 20, 105
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\auth\NuevaCuenta.js", "JavaScript", 0, 0, 117, 0, 0, 10, 23, 150
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\layout\Barra.js", "JavaScript", 0, 0, 21, 0, 0, 2, 10, 33
