"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\details.md", "Markdown", 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-48-20\results.md", "Markdown", 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-49-32\details.md", "Markdown", 0, 0, 0, 50, 0, 0, 6, 56
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-49-32\diff-details.md", "Markdown", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-49-32\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 7, 24
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-49-32\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\.VSCodeCounter\2023-05-12_18-49-32\results.md", "Markdown", 0, 0, 0, 38, 0, 0, 7, 45
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\README.md", "Markdown", 0, 0, 0, 37, 0, 0, 32, 69
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\package-lock.json", "JSON", 0, 0, 13547, 0, 0, 0, 1, 13548
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\package.json", "JSON", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\public\index.html", "HTML", 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\App.js", "JavaScript", 35, 0, 0, 0, 0, 1, 5, 41
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\auth\Login.js", "JavaScript", 77, 0, 0, 0, 0, 8, 20, 105
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\auth\NuevaCuenta.js", "JavaScript", 117, 0, 0, 0, 0, 10, 23, 150
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\layout\Barra.js", "JavaScript", 21, 0, 0, 0, 0, 2, 10, 33
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\layout\Sidebar.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\proyectos\ListadoProyectos.js", "JavaScript", 37, 0, 0, 0, 0, 5, 13, 55
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\proyectos\NuevoProyecto.js", "JavaScript", 62, 0, 0, 0, 0, 9, 17, 88
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\proyectos\Proyecto.js", "JavaScript", 23, 0, 0, 0, 0, 3, 5, 31
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\proyectos\Proyectos.js", "JavaScript", 28, 0, 0, 0, 0, 2, 8, 38
"c:\Users\ardil\Downloads\Proyecto-cliente(1)\Proyecto-cliente\src\components\rutas\RutaPrivada.js", "JavaScript", 18, 0, 0, 0, 0, 1, 6, 25
