"filename", "language", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_18-49-06\details.md", "Markdown", 0, 0, 24, 0, 6, 30
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_18-49-06\diff-details.md", "Markdown", 0, 0, 9, 0, 6, 15
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_18-49-06\diff.md", "Markdown", 0, 0, 12, 0, 7, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_18-49-06\results.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\.VSCodeCounter\2023-05-12_18-49-06\results.md", "Markdown", 0, 0, 21, 0, 7, 28
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\config\db.js", "JavaScript", 0, 17, 0, 0, 2, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\authController.js", "JavaScript", 0, 43, 0, 8, 10, 61
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\proyectoController.js", "JavaScript", 0, 67, 0, 17, 25, 109
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\tareaController.js", "JavaScript", 0, 81, 0, 22, 34, 137
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\usuarioController.js", "JavaScript", 0, 35, 0, 9, 14, 58
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\index.js", "JavaScript", 0, 15, 0, 7, 7, 29
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\middleware\auth.js", "JavaScript", 0, 14, 0, 3, 4, 21
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\models\Proyecto.js", "JavaScript", 0, 17, 0, 0, 2, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\models\Tarea.js", "JavaScript", 0, 21, 0, 0, 2, 23
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\models\Usuario.js", "JavaScript", 0, 24, 0, 0, 2, 26
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\package.json", "JSON", 25, 0, 0, 0, 1, 26
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\auth.js", "JavaScript", 0, 13, 0, 4, 2, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\proyectos.js", "JavaScript", 0, 28, 0, 5, 6, 39
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\tareas.js", "JavaScript", 0, 26, 0, 5, 5, 36
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\usuarios.js", "JavaScript", 0, 13, 0, 3, 3, 19
"Total", "-", 26, 414, 66, 83, 145, 734
